hole_id,region,type,step_index,flux_signed_m3_per_s,flux_abs_m3_per_s
shaft_prox_000,prox,shaft,0,-3.767957154843771E-12,1.886959577265046E-11
shaft_prox_000,prox,shaft,1,3.6901727705059227E-13,1.7210797858166604E-10
shaft_prox_000,prox,shaft,2,-1.88543433659794E-11,3.3012370284428487E-10
shaft_prox_001,prox,shaft,0,9.203012209520947E-12,1.9640039630962866E-11
shaft_prox_001,prox,shaft,1,6.556668344187595E-11,1.3723472027463313E-10
shaft_prox_001,prox,shaft,2,7.367223646248565E-11,2.241099349971431E-10
shaft_prox_002,prox,shaft,0,-8.483051371317275E-12,1.892813268252032E-11
shaft_prox_002,prox,shaft,1,-2.471623568567312E-11,1.5211363858601124E-10
shaft_prox_002,prox,shaft,2,-3.61708221055755E-12,3.49743798329836E-10
shaft_prox_003,prox,shaft,0,-1.4067411871342408E-11,2.1563215138841108E-11
shaft_prox_003,prox,shaft,1,-8.920799169075019E-11,1.3884119701798918E-10
shaft_prox_003,prox,shaft,2,-1.5846967926894333E-10,2.3915868919178564E-10
shaft_prox_004,prox,shaft,0,3.2010978861466168E-12,2.1339286000185985E-11
shaft_prox_004,prox,shaft,1,-1.704886543030083E-11,1.5082270880721567E-10
shaft_prox_004,prox,shaft,2,-1.1364976974841117E-10,2.83476580547044E-10
shaft_prox_005,prox,shaft,0,-3.346749146155115E-12,3.111993636379832E-11
shaft_prox_005,prox,shaft,1,1.0273104806539785E-11,1.8901731124075876E-10
shaft_prox_005,prox,shaft,2,-3.794197823533398E-12,3.3306406871761964E-10
shaft_prox_006,prox,shaft,0,-4.24246102826032E-12,1.2234517951461405E-11
shaft_prox_006,prox,shaft,1,5.319679485307584E-12,1.3002699854424863E-10
shaft_prox_006,prox,shaft,2,2.7523826476815683E-11,2.438130496456323E-10
shaft_mid_000,mid,shaft,0,-6.5662943731675045E-12,2.5739927144167548E-11
shaft_mid_000,mid,shaft,1,-2.3122187515416995E-11,2.000444166780825E-10
shaft_mid_000,mid,shaft,2,-6.194513063531943E-11,3.3700656635414513E-10
shaft_mid_001,mid,shaft,0,9.693765991647082E-12,1.2856541109866303E-11
shaft_mid_001,mid,shaft,1,4.371517824064529E-11,6.949328917931955E-11
shaft_mid_001,mid,shaft,2,7.357947682134519E-11,1.3419571083836904E-10
shaft_mid_002,mid,shaft,0,2.1023762958285274E-12,9.972823345765624E-12
shaft_mid_002,mid,shaft,1,2.5637282968542687E-11,5.946364893147914E-11
shaft_mid_002,mid,shaft,2,6.194151878011709E-11,1.125714076154473E-10
shaft_dist_000,dist,shaft,0,1.2441782699146994E-12,4.633578432348767E-12
shaft_dist_000,dist,shaft,1,2.352688771938444E-12,2.1670598368407708E-11
shaft_dist_000,dist,shaft,2,2.23969089455267E-11,5.0474758945044617E-11
shaft_dist_001,dist,shaft,0,-1.255610041172753E-11,2.7945447853172175E-11
shaft_dist_001,dist,shaft,1,-1.2363721441387647E-10,1.5903287164137339E-10
shaft_dist_001,dist,shaft,2,-2.563941508887743E-10,3.1529148043288365E-10